# buoy ID | latitude | longitude | type           | anemometer height | air temp height | barometer height | sst depth
APRP7     | 13.444   |  144.657  | COAST_STATION  | 8.4               | 9.7             | 5.1              | 2.0
AROP4     | 18.48    | -66.702   | COAST_STATION  | 6.4               | 3.4             | NaN              | NaN
ARPF1     | 28.433   | -82.667   | COAST_STATION  | 11.2              | 6.9             | 6.7              | 0.1
ASTO3     | 46.207   | -123.768  | COAST_STATION  | 6.9               | 6.4             | 5.0              | 1.7
ATGM1     | 44.392   | -68.204   | COAST_STATION  | 8.6               | 7.9             | 5.0              | 1.2
ATKA2     | 52.232   | -174.173  | COAST_STATION  | 8.5               | 7.9             | 6.2              | 2.2
AUGA2     | 59.378   | -153.348  | COAST_STATION  | 6.6               | 6.4             | 10.6             | NaN
AWRT2     | 28.227   | -96.796   | COAST_STATION  | NaN               | NaN             | NaN              | 8.87
BABT2     | 27.297   | -97.405   | COAST_STATION  | 10.0              | NaN             | 4.0              | NaN
BARA9     | 17.591   | -61.821   | COAST_STATION  | 9.7               | 7.7             | 7.5              | NaN
BAXC1     | 33.766   | -118.24   | COAST_STATION  | 62.4              | NaN             | NaN              | NaN
BEPB6     | 32.374   | -64.701   | COAST_STATION  | 4.6               | 4.3             | 5.1              | 2.8
BFTN7     | 34.717   | -76.671   | COAST_STATION  | 7.0               | 3.8             | 3.0              | 4.4
BGCF1     | 26.404   | -81.881   | COAST_STATION  | 17.3              | 16.6            | 16.6             | NaN
BHRI3     | 41.646   | -87.147   | LAKE_STATION   | 10.0              | 2.4             | 181.9            | NaN
BIGM4     | 46.827   | -87.727   | LAKE_STATION   | 10.0              | 3.9             | 186.8            | NaN
BISM2     | 38.22    | -76.039   | COAST_STATION  | 7.1               | 3.1             | 2.8              | 10.8
BLIA2     | 60.839   | -146.884  | COAST_STATION  | 21.6              | 21.3            | 16.5             | NaN
BLTA2     | 58.455   | -135.889  | COAST_STATION  | 9.1               | 5.5             | 4.8              | NaN
BRHC3     | 41.174   | -73.181   | COAST_STATION  | 7.6               | 3.2             | 4.0              | 4.9
BRND1     | 38.987   | -75.113   | OCEAN_STATION  | 21.1              | 20.6            | 8.3              | 0.46
BSBM4     | 44.055   | -86.514   | LAKE_STATION   | 10.0              | 2.7             | 185.9            | NaN
BSCA1     | 30.329   | -87.829   | COAST_STATION  | 7.01              | 6.4             | 2.85             | 2.0
BUFN6     | 42.878   | -78.89    | LAKE_STATION   | 8.5               | 6.5             | 179.0            | 4.5
BUZM3     | 41.397   | -71.033   | OCEAN_STATION  | 24.8              | 24.5            | 17.4             | NaN
BZST2     | 26.067   | -97.155   | COAST_STATION  | 4.25              | 3.23            | 11.819           | 10.6
CAPL1     | 29.768   | -93.343   | COAST_STATION  | 12.3              | 11.7            | 10.5             | 0.6
CBBV2     | 36.967   | -76.114   | OCEAN_STATION  | 6.1               | 4.2             | 5.8              | 3.2
